SCHOOLJAAR 2010-2011 IN HET VO (peildatum 1 oktober 2010);;;;;;;SCHOOLJAAR 2011-2012 IN HET MBO (peildatum 1 oktober 2011);;;;;;;;;
BRIN NUMMER;VESTIGINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;LEERWEG MBO;MBO SECTOR;KWALIFICATIE NAAM;KWALIFICATIE CODE;BRIN NUMMER KENNISCENTRUM;NAAM KENNISCENTRUM;GEMEENTENUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00JR;0;606;Schiedam;havo;diploma;cul/maat;25LP;BOL;techniek ;Juweliersbedrijf (Juwelier);92820;02PS;SVGB;606;Schiedam;1
00JR;0;606;Schiedam;havo;diploma;nat/tech & nat/gezond;00GT;BBL;economie ;Manager handel (Filiaalmanager);93492;00SE;Kenniscentrum Handel;606;Schiedam;1
00JT;0;307;Amersfoort;havo;geen diploma;nvt/geen profiel;09MR;BBL;techniek ;Timmerman;94920;02QH;Fundeon;307;Amersfoort;1
00JT;0;307;Amersfoort;havo;geen diploma;nat/tech;04EM;BOL;combinatie;ICT- en mediabeheer;95320;28DV;Combinatie kenniscentra;313;Bunschoten;1
00JT;0;307;Amersfoort;havo;geen diploma;ec/maat;04EM;BOL;economie ;ICT-medewerker (Medewerker ICT);95060;00SP;ECABO;313;Bunschoten;1
00JT;0;307;Amersfoort;havo;geen diploma;cul/maat;02PG;BOL;economie ;Interieuradviseur;90940;00SE;Kenniscentrum Handel;313;Bunschoten;1
00JT;0;307;Amersfoort;havo;diploma;ec/maat;23KG;BOL;techniek ;Mediavormgever (Grafische vormgeving KC GOC);90413;02PT;Kenniscentrum GOC;313;Bunschoten;1
00JT;0;307;Amersfoort;havo;diploma;cul/maat;02PK;BOL;techniek ;Vormgever/medewerker ruimtelijke presentatie en communicatie;91540;02FW;Savantis;267;Nijkerk;1
00JT;0;307;Amersfoort;havo;diploma;cul/maat;04EM;BBL;zorg en welzijn;Tandartsassistent;91410;02QG;Calibris;313;Bunschoten;1
00JT;3;202;Arnhem;havo;geen diploma;nvt/geen profiel;26CC;BOL;combinatie;Recreatiedieren (Ondernemer/manager recreatiedieren);97730;25DC;Aequor;202;Arnhem;1
00KV;0;777;Etten-Leur;havo;geen diploma;nvt/geen profiel;25LV;BOL;economie ;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);90303;02PY;Kenwerk;879;Zundert;1
00KV;0;777;Etten-Leur;havo;geen diploma;nat/tech;25LZ;BBL;economie ;Verkoopspecialist (Verkoopspecialist detailhandel);90383;00SE;Kenniscentrum Handel;777;Etten-Leur;1
00KV;0;777;Etten-Leur;havo;geen diploma;nat/gezond;25LX;BOL;techniek ;Middenkaderfunctionaris bouw en infra (Middenkaderfunctionaris infra);94052;02QH;Fundeon;879;Zundert;1
00KV;0;777;Etten-Leur;havo;geen diploma;nat/gezond;25LZ;BOL;combinatie;Sport en bewegen;95290;02QG;Calibris;879;Zundert;1
00KV;0;777;Etten-Leur;havo;geen diploma;ec/maat;25LX;BOL;economie ;Veiligheid en vakmanschap (Aankomend onderofficier grondoptreden);95091;00SP;ECABO;840;Rucphen;1
00KV;0;777;Etten-Leur;havo;geen diploma;ec/maat;25LX;BOL;techniek ;Middenkader engineering (Technicus);94421;02PR;Kenteq;777;Etten-Leur;1
00KV;0;777;Etten-Leur;havo;geen diploma;ec/maat;25LX;BOL;zorg en welzijn;Sociaal-cultureel werker;91370;02QG;Calibris;777;Etten-Leur;1
00KV;0;777;Etten-Leur;havo;geen diploma;ec/maat;25LX;BBL;techniek ;Bedrijfsautotechniek (Bedrijfsautotechnicus);93440;02FZ;Innovam Groep;777;Etten-Leur;1
00KV;0;777;Etten-Leur;havo;geen diploma;cul/maat;25LV;BOL;economie ;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);90303;02PY;Kenwerk;777;Etten-Leur;1
00KV;0;777;Etten-Leur;havo;geen diploma;cul/maat;25LV;BOL;economie ;Leisure & hospitality (Leisure & hospitality executive);94130;02PY;Kenwerk;777;Etten-Leur;1
00KV;0;777;Etten-Leur;havo;geen diploma;nat/tech & nat/gezond;23JA;BOL;techniek ;Mediavormgever;90400;28DV;Combinatie kenniscentra;344;Utrecht;1
00KV;0;777;Etten-Leur;havo;geen diploma;nat/tech & nat/gezond;25LV;BOL;economie ;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);90303;02PY;Kenwerk;777;Etten-Leur;1
00KV;0;777;Etten-Leur;havo;geen diploma;nat/tech & nat/gezond;25LX;BOL;techniek ;Mediavormgever;90400;28DV;Combinatie kenniscentra;777;Etten-Leur;1
00KV;0;777;Etten-Leur;havo;geen diploma;nat/tech & nat/gezond;25LX;BOL;techniek ;Vliegtuigonderhoud (Technicus avionica);94411;02PR;Kenteq;840;Rucphen;1
